created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Oct 13 23:59:48 +0000 2023;1712981492727685387;"@vanc1Bozz @Bharata_ja Biarkan Aja Mereka Bicara Apa.Mrk Kira Rakyat Palestina Disamakan Dengan Dia dan Golongannya.Justru Kematian SAHID Itulah Yg di Inginkan Rakyat Palestina.Memangnya Dia?,Dia dan Kaum Kafir Takut Mati,Krn Masih Menikmati Surga Mrk di Dunia Ini.Mrk Tak Sadar,Stlh Mati Mrk Mau Kemana";0;0;0;0;in;1630890442777841666;1712853529621401777;Irwansy96179363;https://twitter.com/Irwansy96179363/status/1712981492727685387
Fri Oct 13 23:59:35 +0000 2023;1712981440030474240;"@Tita83079013 Untuk membela Palestina tidak perlu menjadi Islam cukup jadi Manusia saja";0;0;0;0;in;247109400;1712682449430598026;aderalam;https://twitter.com/aderalam/status/1712981440030474240
Fri Oct 13 23:59:34 +0000 2023;1712981434796007787;"Kasian macron rakyatnya pro palestina dianya sendiri anti banget, terutama sama yg berbau islam. 🤣";0;0;0;0;in;3012252895;1712981434796007787;jwesxnx;https://twitter.com/jwesxnx/status/1712981434796007787
Fri Oct 13 23:59:12 +0000 2023;1712981345046347938;"@arifinpribadi @dina_sulaeman IsraHELL dibentuk oleh orang orang pendatang. Tell them to go back to Europe.  Mereka buka orang lokal Mereka pengungsi  Stop making tanah Palestina https://t.co/BZjZ4gbAis";0;0;0;1;in;186358875;1712725384490602985;Aryolejandro;https://twitter.com/Aryolejandro/status/1712981345046347938
Fri Oct 13 23:59:06 +0000 2023;1712981317548417304;"@muchlis_ar Mantan santri sok tau palestina dan hamas 😆😆😁";0;1;1;2;in;1280191033515470848;1712977759755276376;imibnuumar;https://twitter.com/imibnuumar/status/1712981317548417304
Fri Oct 13 23:59:03 +0000 2023;1712981305078738950;"Dulu pas belum paham kebutuhan hidup, cita2 jdi relawan di Palestina 😅 Kl sekarang, aku takut gak hidup kalo ninggal ibuk ku sendirian 🙂";0;0;0;0;in;1396069759;1712981305078738950;nshobah8;https://twitter.com/nshobah8/status/1712981305078738950
Fri Oct 13 23:58:43 +0000 2023;1712981222480384250;"Membayangkan pemerintah Indonesia jadi juru damai antara Palestina-Israel. Tidak hanya statement mengecam, mengutuk, bla bla bla blaaaa 🥱🥱";0;0;0;0;in;300083622;1712981222480384250;b4yuw;https://twitter.com/b4yuw/status/1712981222480384250
Fri Oct 13 23:58:23 +0000 2023;1712981137264611360;"@hasyimmah Mgkn dr awal atau dulu antara palestina &amp  Israel cmn skrg Israel &amp  Hamas yg ga disukai oleh arab &amp  mesir krn sering bikin keributan… kl ga mgkn semua arab mendukung &amp  mesir akan senang hati membuka border nya";0;0;0;0;in;2951418642;1712808953346941286;aquazeroxx;https://twitter.com/aquazeroxx/status/1712981137264611360
Fri Oct 13 23:58:19 +0000 2023;1712981122437767548;"Presiden Jokowi menjelaskan bahwa Pemerintah Indonesia tegas mendukung kemerdekaan Palestina.  “Sekali lagi saya tegaskan komitmen Indonesia untuk terus mendukung perjuangan kemerdekaan Palestina,” kata Presiden  PAMALI DUSUN POCONG Gaza Gibran #crypto https://t.co/ODDAAWiZ3H";1;4;9;14;in;988378254;1712981122437767548;riegosee;https://twitter.com/riegosee/status/1712981122437767548
Fri Oct 13 23:58:08 +0000 2023;1712981074811482497;"@ABDULARIFTV1 @saidiman Karena saat itu palestina dibawah autoritas yordania. Jadi ente pikirkan kalau yordania yang sesama muslim saja tidak memberi KEMERDEKAKAN palestina termasuk ottoman.";0;0;0;1;in;1576122017891241984;1712650219341713518;brojong20;https://twitter.com/brojong20/status/1712981074811482497
Fri Oct 13 23:57:57 +0000 2023;1712981029848527011;"@Tita83079013 Inilah kegoblokan yahudi pesek pengkhianat bangsa indonesia. Dan pembela penjajah. Klo palestina kaya, negara islam manapun pasti dibantu. Exodus Yahudi akibat genocida Nazi aja ditampung &amp  diberi tanah utk tinggal secara gratis. tp mrk malah merebut tanah lbh luas dr palestina.";0;0;0;0;in;1028888694059483136;1712682449430598026;WillyRosiyandi;https://twitter.com/WillyRosiyandi/status/1712981029848527011
Fri Oct 13 23:57:50 +0000 2023;1712981000152887654;"@ManahanSianipa1 @dina_sulaeman Yg menjajah Palestina adalah orang orang EROPA  EROPA.  Mereka itu pendatang. Dan mencuri tanah Palestina https://t.co/WuusB9aUyP";0;0;0;0;in;186358875;1712725384490602985;Aryolejandro;https://twitter.com/Aryolejandro/status/1712981000152887654
Fri Oct 13 23:57:34 +0000 2023;1712980933182476413;"@tanyarlfes Ada, waktu itu pernah nonton rata² pas ditanya konflik ini mereka juga sedih apa yang dilakuin negara mereka ke Palestina";0;0;0;0;in;811504439483764736;1712974939727556950;akusukagendar;https://twitter.com/akusukagendar/status/1712980933182476413
Fri Oct 13 23:57:19 +0000 2023;1712980871048011824;"Janji ALLAH itu Pasti☝ dan Tanah Palestina pasti Merdeka✊🇯🇴❤🇮🇩  #FreePalestine  #FreePalestine https://t.co/9VTXeVPKI4";0;0;0;1;in;1603537926482145280;1712980871048011824;IwanIwanely72;https://twitter.com/IwanIwanely72/status/1712980871048011824
Fri Oct 13 23:57:01 +0000 2023;1712980794124427378;"@arkaatmaja7 @dipanagara @muchlis_ar Blm ada yg namanya Palestina tahun 1945. Mesir lah nrgara pertama yg mengakui kemerdekaan Indonesia.";0;1;0;5;in;2835754452;1712733946944098599;adi_hwang;https://twitter.com/adi_hwang/status/1712980794124427378
Fri Oct 13 23:57:00 +0000 2023;1712980789233881222;"Warga Chicago yg non muslim dan notabene pemerintahannya pendukung Israhell saja mau bergerak dukung kemerdekaan Palestina... _Lhaaaa masa bangsa kita  yg diklaim mayoritas muslim di dunia tapi adem ayem saudaranya dibantai oleh tentara Israhell....!!_ https://t.co/vgxy5M9JNr";0;0;0;0;in;1445946464954376199;1712980789233881222;oyen7393;https://twitter.com/oyen7393/status/1712980789233881222
Fri Oct 13 23:56:53 +0000 2023;1712980761274642710;"Doa untuk saudaraku mukmin Palestina #savepalestina https://t.co/qfOzF4mEqp";0;0;0;0;in;101743330;1712980761274642710;hafizh_ag;https://twitter.com/hafizh_ag/status/1712980761274642710
Fri Oct 13 23:56:50 +0000 2023;1712980745764110359;"@tanyarlfes Tuh para rabi Yahudi Ortodok pada dukung Palestina. Bbrapa demo jg dukung Palestina d Israel. Tp ya apa daya, pemerintahnya lebih berkuasa wkwk.. pun warga yg anti arab jg buanyaknya bukan maen, makanya syulit.";0;0;0;0;in;1708431963932196864;1712974939727556950;izaacmeowton;https://twitter.com/izaacmeowton/status/1712980745764110359
Fri Oct 13 23:56:44 +0000 2023;1712980723542708614;"Respon Perang di Palestina, Ustadz Adi Hidayat Anjurkan Perbanyak Doa Qunut Nazilah https://t.co/MEQHdCq7Zi";0;0;8;13;in;1226436091617505281;1712980723542708614;keuangannews_id;https://twitter.com/keuangannews_id/status/1712980723542708614
Fri Oct 13 23:56:27 +0000 2023;1712980651832643893;"Sehingga Wilayah &amp  Tanah Palestina..  Yerusalem.  Menjadi Sumbernya Konflik Ber Kepanjangan Hingga Akhir Zaman.   Karena AMBISIUS..   Politik ZIONIS.  Menggunakan isu Taurat.";0;0;0;0;in;1461824941305647105;1712980651832643893;Mulyawans07gma2;https://twitter.com/Mulyawans07gma2/status/1712980651832643893
Fri Oct 13 23:56:23 +0000 2023;1712980632593436797;"Risalah Syaikh Utsman bin Al Khamis untuk Pejuang Palestina via @arrahmah https://t.co/029AFQdS0h";0;0;15;28;in;43872781;1712980632593436797;arrahmah;https://twitter.com/arrahmah/status/1712980632593436797
